Date,Open,High,Low,Close*,Adj Close**,Volume
12/30/2011,"12,286.28","12,290.06","12,213.78","12,217.56","12,217.56","96,670,000"
12/29/2011,"12,152.32","12,293.96","12,152.09","12,287.04","12,287.04","8,410,000"
12/28/2011,"12,288.85","12,299.11","12,140.17","12,151.41","12,151.41","84,010,000"
12/27/2011,"12,293.47","12,328.47","12,269.97","12,291.35","12,291.35","95,980,000"
12/23/2011,"12,169.88","12,297.44","12,169.80","12,294.00","12,294.00","80,420,000"
12/22/2011,"12,107.59","12,182.71","12,107.37","12,169.65","12,169.65","151,610,000"
12/21/2011,"12,103.58","12,119.70","11,999.44","12,107.74","12,107.74","163,250,000"
12/20/2011,"11,769.21","12,117.13","11,768.83","12,103.58","12,103.58","165,180,000"
12/19/2011,"11,866.54","11,925.88","11,735.19","11,766.26","11,766.26","135,170,000"
12/16/2011,"11,870.25","11,968.18","11,819.31","11,866.39","11,866.39","389,520,000"
12/15/2011,"11,825.29","11,967.84","11,825.22","11,868.81","11,868.81","136,930,000"
12/14/2011,"11,949.72","11,950.02","11,786.47","11,823.48","11,823.48","161,240,000"
12/13/2011,"12,018.66","12,147.70","11,904.38","11,954.94","11,954.94","171,910,000"
12/12/2011,"12,181.08","12,181.38","11,940.86","12,021.39","12,021.39","149,050,000"
12/9/2011,"11,996.03","12,212.83","11,995.51","12,184.26","12,184.26","154,250,000"
12/8/2011,"12,195.91","12,195.91","11,966.22","11,997.70","11,997.70","165,880,000"
12/7/2011,"12,144.41","12,257.67","12,060.37","12,196.37","12,196.37","168,440,000"
12/6/2011,"12,097.75","12,215.71","12,076.71","12,150.13","12,150.13","145,920,000"
12/5/2011,"12,021.54","12,186.53","12,021.46","12,097.83","12,097.83","153,830,000"
12/2/2011,"12,022.37","12,146.68","12,007.12","12,019.42","12,019.42","150,110,000"
12/1/2011,"12,046.21","12,062.64","11,974.62","12,020.03","12,020.03","143,700,000"
11/30/2011,"11,559.27","12,045.68","11,559.27","12,045.68","12,045.68","286,790,000"
11/29/2011,"11,523.01","11,624.01","11,517.04","11,555.63","11,555.63","156,950,000"
11/28/2011,"11,232.47","11,562.10","11,232.16","11,523.01","11,523.01","204,950,000"
11/25/2011,"11,251.88","11,361.47","11,231.43","11,231.65","11,231.65","87,480,000"
11/23/2011,"11,492.74","11,492.82","11,257.55","11,257.55","11,257.55","152,220,000"
11/22/2011,"11,542.39","11,571.75","11,433.97","11,493.72","11,493.72","148,570,000"
11/21/2011,"11,795.55","11,795.70","11,454.07","11,547.31","11,547.31","170,960,000"
11/18/2011,"11,768.98","11,854.81","11,755.82","11,796.16","11,796.16","181,240,000"
11/17/2011,"11,905.67","11,948.43","11,676.35","11,770.73","11,770.73","169,830,000"
11/16/2011,"12,084.74","12,109.03","11,890.57","11,905.59","11,905.59","166,220,000"
11/15/2011,"12,077.92","12,165.11","12,001.26","12,096.16","12,096.16","14,510,000"
11/14/2011,"12,153.00","12,170.56","12,027.03","12,078.98","12,078.98","119,610,000"
11/11/2011,"11,896.28","12,179.72","11,896.28","12,153.68","12,153.68","134,520,000"
11/10/2011,"11,780.03","11,961.14","11,779.88","11,893.86","11,893.86","165,250,000"
11/9/2011,"12,166.40","12,166.40","11,736.93","11,780.94","11,780.94","180,200,000"
11/8/2011,"12,055.52","12,187.51","12,002.17","12,170.18","12,170.18","144,950,000"
11/7/2011,"11,983.02","12,074.44","11,880.69","12,068.39","12,068.39","122,110,000"
11/4/2011,"12,043.41","12,043.49","11,850.31","11,983.24","11,983.24","126,150,000"
11/3/2011,"11,835.59","12,065.93","11,835.43","12,044.47","12,044.47","158,170,000"
11/2/2011,"11,658.49","11,876.83","11,658.49","11,836.04","11,836.04","154,140,000"
11/1/2011,"11,951.53","11,951.76","11,630.03","11,657.96","11,657.96","218,290,000"
10/31/2011,"12,229.22","12,229.29","11,954.41","11,955.01","11,955.01","185,790,000"
10/28/2011,"12,207.34","12,251.92","12,164.24","12,231.11","12,231.11","163,620,000"
10/27/2011,"11,872.07","12,284.31","11,872.07","12,208.55","12,208.55","251,640,000"
10/26/2011,"11,707.76","11,891.21","11,694.36","11,869.04","11,869.04","183,730,000"
10/25/2011,"11,912.63","11,912.86","11,682.52","11,706.62","11,706.62","161,450,000"
10/24/2011,"11,807.96","11,940.75","11,805.77","11,913.62","11,913.62","161,870,000"
10/21/2011,"11,543.22","11,812.46","11,542.84","11,808.79","11,808.79","264,000,000"
10/20/2011,"11,502.13","11,581.25","11,391.14","11,541.78","11,541.78","166,100,000"
10/19/2011,"11,577.54","11,633.70","11,469.17","11,504.62","11,504.62","169,580,000"
10/18/2011,"11,396.17","11,652.74","11,296.12","11,577.05","11,577.05","201,410,000"
10/17/2011,"11,643.35","11,643.35","11,378.35","11,397.00","11,397.00","140,360,000"
10/14/2011,"11,478.97","11,646.83","11,478.66","11,644.49","11,644.49","133,570,000"
10/13/2011,"11,518.09","11,518.09","11,377.82","11,478.13","11,478.13","143,990,000"
10/12/2011,"11,417.36","11,625.30","11,417.28","11,518.85","11,518.85","188,130,000"
10/11/2011,"11,432.80","11,447.86","11,365.67","11,416.30","11,416.30","133,360,000"
10/10/2011,"11,104.56","11,433.33","11,104.56","11,433.18","11,433.18","144,270,000"
10/7/2011,"11,123.41","11,232.05","11,051.13","11,103.12","11,103.12","188,080,000"
10/6/2011,"10,939.87","11,132.60","10,858.67","11,123.33","11,123.33","190,030,000"
10/5/2011,"10,800.47","10,950.89","10,738.10","10,939.95","10,939.95","226,440,000"
10/4/2011,"10,651.44","10,825.44","10,404.49","10,808.71","10,808.71","267,440,000"
10/3/2011,"10,912.10","10,979.19","10,653.34","10,655.30","10,655.30","242,870,000"
9/30/2011,"11,152.32","11,152.39","10,909.52","10,913.38","10,913.38","213,200,000"
9/29/2011,"11,012.79","11,271.14","10,965.45","11,153.98","11,153.98","191,340,000"
9/28/2011,"11,189.10","11,317.08","10,996.98","11,010.90","11,010.90","172,410,000"
9/27/2011,"11,045.23","11,369.30","11,045.23","11,190.69","11,190.69","212,700,000"
9/26/2011,"10,771.78","11,057.49","10,771.78","11,043.86","11,043.86","225,620,000"
9/23/2011,"10,732.77","10,808.49","10,638.73","10,771.48","10,771.48","223,140,000"
9/22/2011,"11,121.89","11,122.12","10,597.14","10,733.83","10,733.83","306,170,000"
9/21/2011,"11,408.58","11,447.86","11,117.28","11,124.84","11,124.84","221,860,000"
9/20/2011,"11,401.47","11,550.22","11,373.92","11,408.66","11,408.66","157,060,000"
9/19/2011,"11,506.82","11,506.82","11,255.25","11,401.01","11,401.01","157,580,000"
9/16/2011,"11,433.71","11,532.47","11,407.41","11,509.09","11,509.09","425,900,000"
9/15/2011,"11,247.72","11,433.40","11,247.49","11,433.18","11,433.18","172,080,000"
9/14/2011,"11,106.83","11,386.78","10,993.84","11,246.73","11,246.73","192,600,000"
9/13/2011,"11,054.99","11,140.85","10,987.18","11,105.85","11,105.85","189,980,000"
9/12/2011,"10,990.01","11,062.03","10,824.76","11,061.12","11,061.12","197,160,000"
9/9/2011,"11,294.60","11,294.83","10,935.64","10,992.13","10,992.13","228,170,000"
9/8/2011,"11,414.86","11,477.30","11,283.74","11,295.81","11,295.81","173,040,000"
9/7/2011,"11,137.63","11,414.86","11,137.63","11,414.86","11,414.86","166,320,000"
9/6/2011,"11,237.31","11,237.46","10,932.53","11,139.30","11,139.30","217,420,000"
9/2/2011,"11,492.06","11,492.14","11,211.35","11,240.26","11,240.26","174,660,000"
9/1/2011,"11,613.30","11,716.84","11,488.46","11,493.57","11,493.57","178,110,000"
8/31/2011,"11,560.48","11,712.60","11,528.08","11,613.53","11,613.53","229,740,000"
8/30/2011,"11,532.13","11,630.07","11,429.39","11,559.95","11,559.95","182,090,000"
8/29/2011,"11,286.65","11,541.78","11,286.58","11,539.25","11,539.25","177,540,000"
8/26/2011,"11,149.82","11,326.43","10,929.20","11,284.54","11,284.54","244,410,000"
8/25/2011,"11,321.02","11,406.39","11,106.76","11,149.82","11,149.82","255,050,000"
8/24/2011,"11,175.78","11,331.57","11,113.04","11,320.71","11,320.71","227,380,000"
8/23/2011,"10,854.58","11,176.84","10,854.43","11,176.76","11,176.76","244,130,000"
8/22/2011,"10,820.37","11,020.55","10,820.37","10,854.65","10,854.65","226,720,000"
8/19/2011,"10,989.75","11,086.40","10,801.41","10,817.65","10,817.65","336,370,000"
8/18/2011,"11,406.27","11,406.50","10,881.60","10,990.58","10,990.58","308,520,000"
8/17/2011,"11,392.01","11,529.67","11,322.30","11,410.21","11,410.21","171,280,000"
8/16/2011,"11,480.48","11,488.01","11,292.63","11,405.93","11,405.93","187,800,000"
8/15/2011,"11,269.85","11,484.60","11,269.85","11,482.90","11,482.90","188,120,000"
8/12/2011,"11,143.46","11,346.67","11,142.18","11,269.02","11,269.02","228,030,000"
8/11/2011,"10,729.85","11,278.90","10,729.85","11,143.31","11,143.31","393,190,000"
8/10/2011,"11,228.00","11,228.00","10,686.49","10,719.94","10,719.94","396,300,000"
8/9/2011,"10,810.91","11,244.01","10,604.07","11,239.77","11,239.77","431,410,000"
8/8/2011,"11,433.93","11,434.09","10,809.85","10,809.85","10,809.85","479,980,000"
8/5/2011,"11,383.98","11,555.41","11,139.00","11,444.61","11,444.61","406,310,000"
8/4/2011,"11,893.86","11,893.94","11,372.14","11,383.68","11,383.68","300,760,000"
8/3/2011,"11,863.74","11,904.91","11,700.34","11,896.44","11,896.44","198,220,000"
8/2/2011,"12,129.77","12,130.30","11,865.56","11,866.62","11,866.62","207,060,000"
8/1/2011,"12,144.22","12,282.42","11,998.08","12,132.49","12,132.49","182,820,000"
7/29/2011,"12,239.36","12,243.07","12,083.45","12,143.24","12,143.24","230,910,000"
7/28/2011,"12,301.72","12,384.90","12,226.83","12,240.11","12,240.11","148,710,000"
7/27/2011,"12,498.42","12,498.65","12,289.69","12,302.55","12,302.55","182,770,000"
7/26/2011,"12,592.12","12,593.40","12,489.04","12,501.30","12,501.30","145,140,000"
7/25/2011,"12,679.72","12,679.95","12,536.19","12,592.80","12,592.80","128,760,000"
7/22/2011,"12,724.71","12,740.87","12,644.19","12,681.16","12,681.16","136,760,000"
7/21/2011,"12,567.07","12,751.43","12,566.61","12,724.41","12,724.41","188,410,000"
7/20/2011,"12,583.68","12,603.51","12,546.56","12,571.91","12,571.91","140,340,000"
7/19/2011,"12,386.03","12,607.56","12,385.96","12,587.42","12,587.42","167,550,000"
7/18/2011,"12,475.11","12,475.26","12,296.23","12,385.16","12,385.16","148,950,000"
7/15/2011,"12,437.12","12,504.82","12,406.09","12,479.73","12,479.73","215,420,000"
7/14/2011,"12,491.53","12,581.98","12,414.41","12,437.12","12,437.12","140,810,000"
7/13/2011,"12,447.33","12,611.04","12,447.33","12,491.61","12,491.61","139,970,000"
7/12/2011,"12,505.54","12,570.58","12,446.88","12,446.88","12,446.88","162,640,000"
7/11/2011,"12,655.62","12,655.84","12,470.30","12,505.76","12,505.76","133,250,000"
7/8/2011,"12,717.90","12,717.90","12,567.41","12,657.20","12,657.20","131,150,000"
7/7/2011,"12,627.23","12,753.89","12,627.23","12,719.49","12,719.49","153,740,000"
7/6/2011,"12,562.47","12,643.24","12,539.21","12,626.02","12,626.02","132,330,000"
7/5/2011,"12,569.87","12,601.80","12,540.58","12,569.87","12,569.87","123,000,000"
7/1/2011,"12,414.34","12,596.13","12,404.08","12,582.77","12,582.77","141,870,000"
6/30/2011,"12,262.25","12,427.09","12,262.10","12,414.34","12,414.34","179,980,000"
6/29/2011,"12,187.63","12,284.39","12,175.86","12,261.42","12,261.42","158,720,000"
6/28/2011,"12,043.56","12,190.43","12,042.28","12,188.69","12,188.69","135,050,000"
6/27/2011,"11,934.66","12,098.81","11,934.05","12,043.56","12,043.56","177,920,000"
6/24/2011,"12,049.24","12,057.19","11,925.42","11,934.58","11,934.58","279,660,000"
6/23/2011,"12,108.35","12,108.73","11,874.94","12,050.00","12,050.00","206,760,000"
6/22/2011,"12,189.71","12,207.99","12,105.85","12,109.67","12,109.67","125,330,000"
6/21/2011,"12,081.33","12,217.33","12,081.18","12,190.01","12,190.01","147,570,000"
6/20/2011,"12,004.28","12,099.87","11,971.29","12,080.38","12,080.38","127,250,000"
6/17/2011,"11,962.66","12,072.89","11,962.51","12,004.36","12,004.36","342,010,000"
6/16/2011,"11,896.13","11,990.02","11,875.77","11,961.52","11,961.52","189,500,000"
6/15/2011,"12,075.12","12,075.20","11,862.53","11,897.27","11,897.27","182,500,000"
6/14/2011,"11,951.38","12,120.80","11,951.38","12,076.11","12,076.11","159,620,000"
6/13/2011,"11,945.33","12,011.66","11,917.78","11,952.97","11,952.97","153,370,000"
6/10/2011,"12,124.17","12,124.85","11,937.42","11,951.91","11,951.91","178,310,000"
6/9/2011,"12,049.47","12,183.12","12,049.09","12,124.36","12,124.36","149,700,000"
6/8/2011,"12,066.27","12,098.36","12,024.26","12,048.94","12,048.94","156,870,000"
6/7/2011,"12,090.18","12,178.89","12,066.61","12,070.81","12,070.81","162,610,000"
6/6/2011,"12,151.19","12,151.49","12,070.66","12,089.96","12,089.96","166,600,000"
6/3/2011,"12,247.80","12,247.87","12,104.03","12,151.26","12,151.26","157,740,000"
6/2/2011,"12,289.61","12,306.71","12,190.54","12,248.55","12,248.55","156,370,000"
6/1/2011,"12,569.41","12,569.49","12,282.42","12,290.14","12,290.14","183,020,000"
5/31/2011,"12,443.40","12,574.29","12,443.40","12,569.79","12,569.79","208,290,000"
5/27/2011,"12,398.06","12,483.81","12,397.69","12,441.58","12,441.58","126,030,000"
5/26/2011,"12,391.63","12,441.58","12,317.92","12,402.76","12,402.76","149,070,000"
5/25/2011,"12,355.45","12,440.03","12,309.52","12,394.66","12,394.66","145,750,000"
5/24/2011,"12,381.57","12,422.55","12,350.04","12,356.21","12,356.21","145,920,000"
5/23/2011,"12,511.36","12,511.36","12,331.77","12,381.26","12,381.26","150,720,000"
5/20/2011,"12,604.72","12,604.83","12,485.86","12,512.04","12,512.04","174,980,000"
5/19/2011,"12,561.46","12,633.59","12,533.46","12,605.32","12,605.32","158,470,000"
5/18/2011,"12,471.78","12,571.15","12,443.10","12,560.18","12,560.18","175,120,000"
5/17/2011,"12,541.33","12,541.33","12,378.84","12,479.58","12,479.58","192,830,000"
5/16/2011,"12,594.77","12,642.90","12,530.81","12,548.37","12,548.37","192,310,000"
5/13/2011,"12,695.65","12,714.50","12,543.19","12,595.75","12,595.75","169,940,000"
5/12/2011,"12,629.96","12,718.58","12,537.17","12,695.92","12,695.92","216,510,000"
5/11/2011,"12,745.87","12,748.21","12,577.21","12,630.03","12,630.03","200,680,000"
5/10/2011,"12,685.13","12,781.06","12,681.65","12,760.36","12,760.36","156,000,000"
5/9/2011,"12,637.83","12,722.07","12,620.20","12,684.68","12,684.68","133,940,000"
5/6/2011,"12,580.76","12,759.23","12,579.93","12,638.74","12,638.74","168,320,000"
5/5/2011,"12,723.65","12,724.56","12,521.28","12,584.17","12,584.17","176,950,000"
5/4/2011,"12,806.29","12,806.68","12,673.02","12,723.58","12,723.58","193,720,000"
5/3/2011,"12,806.38","12,840.66","12,749.99","12,807.51","12,807.51","191,510,000"
5/2/2011,"12,810.16","12,876.00","12,784.62","12,807.36","12,807.36","150,960,000"
4/29/2011,"12,763.46","12,832.83","12,751.13","12,810.54","12,810.54","378,620,000"
4/28/2011,"12,689.90","12,776.14","12,674.54","12,763.31","12,763.31","148,760,000"
4/27/2011,"12,592.23","12,708.37","12,588.33","12,690.96","12,690.96","160,550,000"
4/26/2011,"12,480.86","12,613.16","12,478.14","12,595.37","12,595.37","183,980,000"
4/25/2011,"12,505.99","12,506.22","12,446.05","12,479.88","12,479.88","128,660,000"
4/21/2011,"12,453.62","12,506.06","12,447.56","12,505.99","12,505.99","166,630,000"
4/20/2011,"12,266.75","12,475.53","12,263.58","12,453.54","12,453.54","203,900,000"
4/19/2011,"12,201.44","12,275.34","12,200.30","12,266.75","12,266.75","149,870,000"
4/18/2011,"12,339.71","12,339.79","12,093.89","12,201.59","12,201.59","190,220,000"
4/15/2011,"12,285.45","12,369.27","12,272.58","12,341.83","12,341.83","234,710,000"
4/14/2011,"12,270.24","12,305.58","12,163.86","12,285.15","12,285.15","140,670,000"
4/13/2011,"12,263.65","12,335.10","12,224.45","12,270.99","12,270.99","118,950,000"
4/12/2011,"12,381.19","12,381.19","12,233.00","12,263.58","12,263.58","137,260,000"
4/11/2011,"12,380.43","12,444.00","12,352.88","12,381.11","12,381.11","109,950,000"
4/8/2011,"12,409.87","12,450.36","12,320.72","12,380.05","12,380.05","122,820,000"
4/7/2011,"12,426.45","12,440.56","12,328.36","12,409.49","12,409.49","158,590,000"
4/6/2011,"12,386.66","12,450.93","12,386.66","12,426.75","12,426.75","182,350,000"
4/5/2011,"12,402.08","12,438.14","12,353.34","12,393.90","12,393.90","142,340,000"
4/4/2011,"12,374.60","12,407.41","12,369.15","12,400.03","12,400.03","114,660,000"
4/1/2011,"12,321.02","12,419.71","12,321.02","12,376.72","12,376.72","147,600,000"
3/31/2011,"12,350.76","12,381.68","12,319.01","12,319.73","12,319.73","186,140,000"
3/30/2011,"12,280.07","12,383.46","12,280.07","12,350.61","12,350.61","140,340,000"
3/29/2011,"12,194.48","12,285.41","12,173.51","12,279.01","12,279.01","129,030,000"
3/28/2011,"12,221.19","12,272.92","12,197.88","12,197.88","12,197.88","123,070,000"
3/25/2011,"12,170.71","12,259.79","12,170.71","12,220.59","12,220.59","129,790,000"
3/24/2011,"12,087.54","12,191.18","12,087.54","12,170.56","12,170.56","131,610,000"
3/23/2011,"12,018.40","12,116.14","11,972.61","12,086.02","12,086.02","133,940,000"
3/22/2011,"12,036.37","12,050.98","12,002.85","12,018.63","12,018.63","115,660,000"
3/21/2011,"11,860.11","12,078.30","11,860.11","12,036.53","12,036.53","143,390,000"
3/18/2011,"11,777.23","11,927.09","11,777.23","11,858.52","11,858.52","355,050,000"
3/17/2011,"11,614.89","11,800.54","11,614.82","11,774.59","11,774.59","182,260,000"
3/16/2011,"11,854.20","11,856.70","11,555.48","11,613.30","11,613.30","254,070,000"
3/15/2011,"11,988.69","11,988.69","11,696.25","11,855.42","11,855.42","221,930,000"
3/14/2011,"12,042.13","12,042.13","11,897.31","11,993.16","11,993.16","163,000,000"
3/11/2011,"11,976.96","12,087.01","11,936.32","12,044.40","12,044.40","143,670,000"
3/10/2011,"12,211.43","12,211.43","11,974.39","11,984.61","11,984.61","180,660,000"
3/9/2011,"12,211.16","12,257.82","12,156.60","12,213.09","12,213.09","128,360,000"
3/8/2011,"12,085.87","12,251.20","12,072.21","12,214.38","12,214.38","158,610,000"
3/7/2011,"12,171.09","12,243.44","12,041.60","12,090.03","12,090.03","176,200,000"
3/4/2011,"12,258.88","12,271.37","12,079.51","12,169.88","12,169.88","166,700,000"
3/3/2011,"12,068.01","12,283.10","12,068.01","12,258.20","12,258.20","157,840,000"
3/2/2011,"12,057.34","12,115.12","12,018.63","12,066.80","12,066.80","147,270,000"
3/1/2011,"12,226.49","12,261.38","12,054.99","12,058.02","12,058.02","183,240,000"
2/28/2011,"12,130.45","12,235.04","12,130.15","12,226.34","12,226.34","199,560,000"
2/25/2011,"12,060.93","12,151.03","12,060.93","12,130.45","12,130.45","147,540,000"
2/24/2011,"12,104.56","12,129.62","11,983.17","12,068.50","12,068.50","190,860,000"
2/23/2011,"12,211.81","12,221.12","12,063.43","12,105.78","12,105.78","213,490,000"
2/22/2011,"12,389.74","12,389.82","12,176.31","12,212.79","12,212.79","201,860,000"
2/18/2011,"12,318.67","12,391.29","12,303.23","12,391.25","12,391.25","230,040,000"
2/17/2011,"12,287.72","12,331.31","12,253.24","12,318.14","12,318.14","130,860,000"
2/16/2011,"12,219.79","12,303.16","12,219.79","12,288.17","12,288.17","146,270,000"
2/15/2011,"12,266.75","12,267.66","12,193.27","12,226.64","12,226.64","142,580,000"
2/14/2011,"12,266.83","12,276.21","12,235.91","12,268.19","12,268.19","146,350,000"
2/11/2011,"12,227.78","12,285.94","12,180.48","12,273.26","12,273.26","184,290,000"
2/10/2011,"12,239.66","12,239.66","12,156.94","12,229.29","12,229.29","274,440,000"
2/9/2011,"12,229.29","12,254.23","12,188.19","12,239.89","12,239.89","162,910,000"
2/8/2011,"12,152.70","12,238.79","12,150.05","12,233.15","12,233.15","126,650,000"
2/7/2011,"12,092.38","12,188.76","12,092.30","12,161.63","12,161.63","132,960,000"
2/4/2011,"12,061.73","12,092.42","12,025.78","12,092.15","12,092.15","121,780,000"
2/3/2011,"12,040.68","12,080.54","11,981.05","12,062.26","12,062.26","143,710,000"
2/2/2011,"12,038.27","12,057.91","12,018.51","12,041.97","12,041.97","143,440,000"
2/1/2011,"11,892.50","12,050.75","11,892.50","12,040.16","12,040.16","180,890,000"
1/31/2011,"11,824.39","11,891.93","11,817.88","11,891.93","11,891.93","206,580,000"
1/28/2011,"11,990.36","12,012.42","11,803.04","11,823.70","11,823.70","214,170,000"
1/27/2011,"11,985.36","12,019.53","11,971.93","11,989.83","11,989.83","167,770,000"
1/26/2011,"11,978.85","12,020.52","11,961.83","11,985.44","11,985.44","168,320,000"
1/25/2011,"11,980.52","11,985.97","11,898.74","11,977.19","11,977.19","191,950,000"
1/24/2011,"11,873.43","11,982.94","11,867.98","11,980.52","11,980.52","184,000,000"
1/21/2011,"11,822.95","11,905.48","11,822.80","11,871.84","11,871.84","249,480,000"
1/20/2011,"11,823.70","11,845.16","11,744.77","11,822.80","11,822.80","180,800,000"
1/19/2011,"11,834.21","11,861.24","11,798.46","11,825.29","11,825.29","166,250,000"
1/18/2011,"11,783.82","11,858.78","11,777.99","11,837.93","11,837.93","203,390,000"
1/14/2011,"11,732.13","11,794.15","11,698.83","11,787.38","11,787.38","200,770,000"
1/13/2011,"11,753.70","11,757.25","11,700.53","11,731.90","11,731.90","161,660,000"
1/12/2011,"11,673.62","11,782.23","11,673.62","11,755.44","11,755.44","144,960,000"
1/11/2011,"11,638.51","11,704.12","11,635.48","11,671.88","11,671.88","157,440,000"
1/10/2011,"11,672.34","11,677.33","11,573.87","11,637.45","11,637.45","150,340,000"
1/7/2011,"11,696.86","11,726.94","11,599.68","11,674.76","11,674.76","188,720,000"
1/6/2011,"11,716.93","11,736.74","11,667.46","11,697.31","11,697.31","193,080,000"
1/5/2011,"11,688.61","11,742.68","11,652.89","11,722.89","11,722.89","169,990,000"
1/4/2011,"11,670.90","11,698.22","11,635.74","11,691.18","11,691.18","178,630,000"
1/3/2011,"11,577.43","11,711.47","11,577.35","11,670.75","11,670.75","203,420,000"
